number_customer_service_calls,number_customer_service_interactions,state,regional_economy,international_plan,total_intl_calls,voice_mail_plan,number_vmail_messages,account_length,last_renewal,discount,total_usage,number_service_outage,service_outage_reported,ad_spend,wifi_bundle,phone_bundle,churn
3,5,Pennsylvania,923.089,1.0,1.0,1.0,1.0,31.2,4.16,0.2006,3.12,8,8.0,9.8848,0.0,0.0,1
1,1,Michigan,620.696,0.0,2.0,1.0,1.0,3.0,1.0,0.0643,0.8500000000000001,1,1.0,7.8208,0.0,0.0,0
3,3,New Hampshire,105.414,1.0,5.0,0.0,1.0,19.0,1.2666666666666666,0.0691,2.216666666666667,5,5.0,9.1051,0.0,0.0,1
1,2,South Carolina,295.88,0.0,0.0,0.0,1.0,13.0,1.9500000000000002,0.1785,5.8500000000000005,15,15.0,12.6815,1.0,1.0,0
2,2,Delaware,87.525,1.0,2.0,1.0,1.0,52.0,13.0,0.0766,13.0,28,28.0,17.1677,0.0,1.0,1
1,1,Wisconsin,401.792,0.0,0.0,1.0,1.0,8.0,2.2666666666666666,0.2144,0.6666666666666666,1,1.0,7.6213999999999995,1.0,1.0,0
5,5,Iowa,231.108,0.0,1.0,0.0,3.0,7.0,0.7,0.1551,0.5833333333333334,1,1.0,7.5685,1.0,1.0,0
2,3,West Virginia,95.588,1.0,5.0,0.0,1.0,14.0,0.9333333333333333,0.237,1.6333333333333333,6,6.0,8.6083,1.0,1.0,0
1,3,Wisconsin,401.792,0.0,1.0,0.0,0.0,4.333333333333333,0.8666666666666666,0.0131,0.5055555555555555,1,1.0,7.4701,0.0,0.0,1
1,1,New Hampshire,105.414,1.0,3.0,1.0,1.0,17.0,4.25,0.0531,3.4,9,9.0,10.2492,0.0,0.0,1
3,3,Wyoming,47.433,1.0,0.0,0.0,2.0,13.0,0.65,0.1491,4.333333333333334,6,6.0,10.9314,0.0,0.0,0
1,2,Minnesota,446.5,1.0,3.0,0.0,1.0,6.5,0.7583333333333333,0.1902,0.5416666666666667,1,1.0,7.5251,1.0,1.0,0
2,5,North Carolina,730.072,1.0,1.0,0.0,1.0,8.4,0.42000000000000004,0.1441,0.42000000000000004,0,0.0,7.3995999999999995,1.0,1.0,1
1,2,Wyoming,47.433,0.0,2.0,0.0,1.0,2.5,0.29166666666666663,0.1467,0.041666666666666664,0,0.0,7.0377,1.0,0.0,0
2,3,Wyoming,47.433,0.0,1.0,0.0,0.0,2.6666666666666665,0.4888888888888888,0.0289,0.08888888888888888,0,0.0,7.0832999999999995,0.0,0.0,1
2,3,Missouri,389.931,1.0,1.0,0.0,1.0,22.0,2.5666666666666664,0.211,3.6666666666666665,8,8.0,10.5653,0.0,0.0,0
2,2,Washington,725.514,0.0,1.0,0.0,0.0,22.0,6.2333333333333325,0.177,2.1999999999999997,6,6.0,7.995699999999999,0.0,0.0,0
5,5,Vermont,40.617,0.0,2.0,0.0,4.0,30.0,4.5,0.232,2.5,9,9.0,9.4642,0.0,0.0,1
2,3,Washington,725.514,0.0,1.0,1.0,2.0,34.0,9.633333333333333,0.2198,3.4,9,9.0,8.1929,0.0,0.0,0
1,1,Delaware,87.525,0.0,0.0,0.0,1.0,18.0,2.6999999999999997,0.1382,2.4,4,4.0,9.315000000000001,0.0,0.0,1
1,3,Illinois,1033.31,0.0,1.0,0.0,1.0,18.333333333333332,2.7499999999999996,0.2165,9.472222222222221,17,17.0,16.029899999999998,0.0,0.0,0
2,2,New Hampshire,105.414,0.0,1.0,1.0,1.0,6.0,1.3,0.0984,0.4,0,0.0,7.3863,0.0,0.0,0
1,2,Kansas,210.67,1.0,9.0,0.0,0.0,28.0,8.4,0.0852,13.533333333333333,25,25.0,17.9319,0.0,0.0,0
2,2,Missouri,389.931,1.0,1.0,1.0,1.0,58.0,6.766666666666667,0.1573,8.7,25,25.0,14.2052,0.0,1.0,1
2,2,Delaware,87.525,1.0,1.0,0.0,1.0,8.0,1.2,0.197,2.8,7,7.0,9.5618,1.0,1.0,0
1,2,Florida,1389.07,0.0,0.0,1.0,1.0,14.5,3.3833333333333333,0.2444,2.4166666666666665,5,5.0,9.2071,1.0,1.0,1
1,2,Arkansas,165.221,1.0,1.0,0.0,1.0,26.0,5.2,0.1622,3.033333333333333,5,5.0,8.7915,0.0,0.0,0
1,2,Massachusetts,688.392,0.0,1.0,0.0,0.0,10.5,1.2249999999999999,0.1879,0.5249999999999999,0,0.0,7.4758,1.0,1.0,0
1,2,South Dakota,67.571,1.0,4.0,0.0,0.0,15.0,0.25,0.0654,0.25,0,0.0,7.2409,0.0,0.0,0
2,2,Kansas,210.67,1.0,1.0,1.0,2.0,51.0,8.5,0.1188,14.45,32,32.0,18.3766,0.0,1.0,1
1,3,Nevada,215.918,1.0,1.0,1.0,1.0,9.333333333333332,2.0222222222222217,0.23,2.7999999999999994,10,10.0,9.532,1.0,1.0,1
7,8,South Dakota,67.571,1.0,8.0,0.0,3.0,38.5,10.266666666666667,0.1835,19.89166666666667,56,56.0,23.7705,0.0,1.0,1
1,1,Ohio,822.67,1.0,3.0,0.0,0.0,54.0,14.4,0.1799,1.8,5,5.0,6.7730999999999995,0.0,0.0,1
1,3,New Mexico,122.115,0.0,1.0,1.0,1.0,10.333333333333332,1.3777777777777775,0.043,0.3444444444444444,0,0.0,7.3388,0.0,0.0,0
1,2,Minnesota,446.5,0.0,1.0,0.0,1.0,16.0,3.7333333333333334,0.034,1.8666666666666667,1,1.0,8.7092,0.0,0.0,0
2,3,Minnesota,446.5,0.0,1.0,0.0,0.0,38.0,3.8,0.0674,1.9,6,6.0,8.7712,0.0,0.0,1
1,2,Nevada,215.918,1.0,1.0,0.0,1.0,2.5,0.625,0.0585,0.08333333333333333,0,0.0,7.0791,0.0,0.0,1
1,1,North Dakota,73.267,1.0,2.0,1.0,1.0,34.0,9.633333333333333,0.1761,2.2666666666666666,5,5.0,7.1965,0.0,0.0,1
1,1,Minnesota,446.5,0.0,2.0,0.0,1.0,51.0,7.6499999999999995,0.005,1.7,6,6.0,7.5344,0.0,0.0,1
1,1,Wisconsin,401.792,1.0,1.0,1.0,1.0,37.0,8.633333333333333,0.0188,6.783333333333333,16,16.0,11.498899999999999,0.0,0.0,1
1,2,South Dakota,67.571,1.0,3.0,0.0,1.0,22.5,6.75,0.2369,3.0,11,11.0,8.9134,0.0,0.0,0
2,2,Ohio,822.67,0.0,2.0,0.0,0.0,4.0,0.4666666666666667,0.1256,1.1333333333333333,4,4.0,8.0527,1.0,0.0,0
1,1,Delaware,87.525,0.0,1.0,0.0,1.0,17.0,5.1,0.1071,1.1333333333333333,6,6.0,7.0794999999999995,0.0,0.0,0
1,1,Nebraska,161.702,1.0,1.0,0.0,0.0,29.0,3.8666666666666667,0.2083,0.48333333333333334,1,1.0,7.471299999999999,0.0,0.0,0
1,1,Indiana,455.75,0.0,1.0,0.0,1.0,53.0,1.7666666666666666,0.1845,9.716666666666667,20,20.0,16.484099999999998,0.0,1.0,0
3,3,Texas,2355.96,1.0,2.0,1.0,3.0,18.0,3.9,0.0396,2.4,2,2.0,9.332699999999999,0.0,0.0,0
1,1,South Dakota,67.571,0.0,1.0,1.0,0.0,44.0,4.3999999999999995,0.2313,2.1999999999999997,1,1.0,9.034099999999999,0.0,0.0,1
3,3,Utah,248.176,1.0,0.0,1.0,2.0,45.0,8.25,0.0519,0.75,0,0.0,5.725,0.0,0.0,1
1,1,New Hampshire,105.414,1.0,3.0,0.0,0.0,20.0,3.333333333333333,0.2319,0.6666666666666666,0,0.0,7.659,0.0,0.0,0
6,8,Florida,1389.07,1.0,0.0,0.0,2.0,12.75,2.55,0.1211,1.275,1,1.0,8.149799999999999,0.0,0.0,0
1,1,West Virginia,95.588,0.0,0.0,0.0,1.0,15.0,1.5,0.0592,3.25,8,8.0,10.1269,0.0,0.0,0
6,9,North Carolina,730.072,0.0,1.0,0.0,5.0,36.0,5.3999999999999995,0.112,0.6,1,1.0,6.5546,0.0,0.0,1
2,4,Massachusetts,688.392,1.0,3.0,0.0,1.0,25.5,4.25,0.2221,0.425,0,0.0,7.3883,0.0,0.0,1
2,2,Wyoming,47.433,1.0,3.0,1.0,2.0,53.0,17.666666666666664,0.0324,2.65,9,9.0,7.5366,0.0,0.0,1
1,3,Kansas,210.67,1.0,2.0,1.0,1.0,9.0,1.5,0.1328,3.4499999999999997,6,6.0,10.3606,0.0,0.0,0
1,4,Mississippi,138.74,1.0,0.0,1.0,1.0,1.5,0.42500000000000004,0.276,0.25,1,1.0,7.2393,1.0,0.0,0
1,3,Arkansas,165.221,0.0,2.0,0.0,1.0,15.333333333333332,2.811111111111111,0.1644,3.0666666666666664,3,3.0,9.8417,0.0,0.0,1
1,2,Washington,725.514,0.0,0.0,0.0,1.0,27.5,8.25,0.0005,3.6666666666666665,12,12.0,8.3988,0.0,0.0,1
1,2,Wyoming,47.433,0.0,1.0,0.0,1.0,23.0,5.366666666666667,0.0002,4.6000000000000005,8,8.0,10.492,0.0,0.0,0
1,1,Nebraska,161.702,1.0,1.0,1.0,1.0,41.0,4.783333333333333,0.1676,10.25,27,27.0,16.615099999999998,0.0,0.0,0
1,1,Missouri,389.931,0.0,1.0,1.0,1.0,19.0,5.383333333333333,0.0758,2.216666666666667,2,2.0,7.9959,0.0,0.0,0
1,1,Hawaii,98.219,1.0,1.0,1.0,1.0,43.0,4.3,0.2029,12.183333333333334,26,26.0,18.0699,0.0,0.0,1
2,3,Michigan,620.696,1.0,3.0,0.0,1.0,0.6666666666666666,0.0,0.1267,0.06666666666666665,0,0.0,7.0613,1.0,0.0,1
2,2,Nevada,215.918,0.0,1.0,1.0,0.0,23.0,5.75,0.1958,1.5333333333333334,2,2.0,7.3842,0.0,0.0,0
1,3,Wisconsin,401.792,1.0,1.0,1.0,1.0,10.666666666666666,0.0,0.1712,0.711111111111111,1,1.0,7.6625,1.0,1.0,0
2,2,Wyoming,47.433,0.0,1.0,0.0,1.0,9.0,0.8999999999999999,0.0751,0.6,2,2.0,7.561999999999999,0.0,0.0,1
1,1,Rhode Island,71.402,0.0,0.0,0.0,0.0,59.0,5.8999999999999995,0.1623,24.583333333333332,53,53.0,28.5808,0.0,1.0,1
2,2,Nevada,215.918,0.0,1.0,0.0,1.0,49.0,11.433333333333334,0.1042,21.233333333333334,40,40.0,25.82,0.0,1.0,1
4,6,Minnesota,446.5,1.0,1.0,1.0,5.0,7.333333333333333,0.24444444444444444,0.0418,1.9555555555555555,2,2.0,8.8135,0.0,0.0,1
1,2,Arizona,458.95,1.0,0.0,0.0,0.0,29.5,3.4416666666666664,0.2224,28.025,67,67.0,34.3821,0.0,0.0,1
2,3,South Carolina,295.88,0.0,1.0,0.0,2.0,36.0,1.2,0.1207,14.399999999999999,24,24.0,21.1648,0.0,0.0,0
1,2,Tennessee,475.755,0.0,0.0,1.0,1.0,27.5,0.4583333333333333,0.1649,1.375,2,2.0,8.3274,0.0,0.0,1
2,2,Vermont,40.617,0.0,0.0,0.0,1.0,15.0,0.0,0.1982,4.75,10,10.0,11.582,1.0,1.0,0
1,1,Mississippi,138.74,0.0,1.0,0.0,1.0,12.0,3.4000000000000004,0.0894,0.4,1,1.0,7.3771,0.0,0.0,0
1,2,Mississippi,138.74,0.0,0.0,1.0,0.0,3.0,0.8,0.1646,0.05,0,0.0,7.0463000000000005,1.0,0.0,0
2,4,Ohio,822.67,0.0,2.0,1.0,2.0,11.0,0.0,0.0495,1.0999999999999999,2,2.0,8.017199999999999,0.0,0.0,0
1,2,New Mexico,122.115,1.0,0.0,0.0,0.0,2.0,0.5333333333333333,0.2382,0.26666666666666666,0,0.0,7.261699999999999,1.0,0.0,0
3,4,Maine,84.497,1.0,2.0,0.0,2.0,11.25,0.5625,0.2152,0.375,1,1.0,7.3637,1.0,1.0,0
1,2,Kansas,210.67,0.0,3.0,0.0,0.0,9.5,0.475,0.1669,0.7916666666666666,2,2.0,7.7189,1.0,1.0,0
2,2,New Jersey,745.422,1.0,1.0,1.0,0.0,23.0,2.6833333333333336,0.1813,0.7666666666666667,4,4.0,7.7436,0.0,0.0,1
1,2,Arkansas,165.221,0.0,1.0,0.0,1.0,25.0,6.666666666666667,0.1319,5.0,15,15.0,10.637599999999999,0.0,0.0,1
2,3,North Dakota,73.267,0.0,1.0,1.0,1.0,13.333333333333332,1.1111111111111112,0.1987,3.1111111111111107,7,7.0,10.0766,1.0,1.0,1
5,7,Arkansas,165.221,0.0,0.0,0.0,2.0,33.57142857142857,1.6785714285714286,0.0629,7.273809523809524,15,15.0,14.0158,0.0,0.0,0
1,2,Massachusetts,688.392,1.0,0.0,1.0,1.0,24.0,4.0,0.1553,2.8000000000000003,11,11.0,9.681799999999999,0.0,0.0,1
2,2,Hawaii,98.219,0.0,0.0,0.0,1.0,12.0,1.4000000000000001,0.0467,5.0,11,11.0,11.8108,0.0,0.0,0
2,2,Pennsylvania,923.089,1.0,0.0,0.0,0.0,49.0,5.716666666666667,0.038,11.433333333333334,23,23.0,16.5093,0.0,0.0,1
2,2,Minnesota,446.5,1.0,2.0,0.0,1.0,37.0,11.716666666666667,0.2151,1.85,0,0.0,6.7059999999999995,0.0,0.0,0
1,2,Hawaii,98.219,1.0,1.0,0.0,0.0,15.0,3.0,0.1735,0.75,1,1.0,7.7402,0.0,0.0,0
5,7,South Carolina,295.88,0.0,1.0,0.0,1.0,27.857142857142858,9.285714285714286,0.0814,14.857142857142858,25,25.0,19.1142,0.0,0.0,0
1,4,New Hampshire,105.414,0.0,2.0,0.0,1.0,4.0,0.3333333333333333,0.2323,0.8,2,2.0,7.7737,1.0,0.0,0
3,3,Utah,248.176,1.0,1.0,1.0,1.0,47.0,6.266666666666667,0.1847,10.966666666666667,26,26.0,16.4681,0.0,0.0,1
2,2,New Jersey,745.422,1.0,3.0,1.0,2.0,26.0,7.366666666666667,0.2172,1.3,2,2.0,7.1708,0.0,0.0,0
1,1,Texas,2355.96,1.0,1.0,1.0,1.0,2.0,0.26666666666666666,0.0307,0.23333333333333334,0,0.0,7.2151,0.0,0.0,0
3,3,California,3598.103,1.0,4.0,0.0,0.0,48.0,13.600000000000001,0.1625,9.600000000000001,18,18.0,13.6433,0.0,0.0,1
1,2,Tennessee,475.755,1.0,1.0,1.0,0.0,8.0,2.533333333333333,0.0432,0.13333333333333333,1,1.0,7.1206,0.0,0.0,0
4,4,Wisconsin,401.792,0.0,1.0,0.0,1.0,6.0,1.7000000000000002,0.0574,0.7000000000000001,0,0.0,7.6814,0.0,0.0,0
2,3,Iowa,231.108,0.0,0.0,1.0,2.0,24.666666666666664,3.2888888888888888,0.1373,11.511111111111111,21,21.0,17.468899999999998,0.0,0.0,0
4,6,Maryland,470.187,1.0,0.0,1.0,2.0,28.666666666666664,9.077777777777778,0.0999,0.47777777777777775,0,0.0,5.4356,0.0,0.0,0
2,3,South Carolina,295.88,1.0,1.0,0.0,2.0,7.333333333333333,0.8555555555555555,0.2108,1.0999999999999999,1,1.0,8.0569,1.0,1.0,0
2,2,North Carolina,730.072,0.0,1.0,0.0,2.0,15.0,3.0,0.2476,1.25,3,3.0,8.1504,1.0,1.0,0
2,2,Oklahoma,240.534,0.0,0.0,0.0,0.0,6.0,0.2,0.1111,0.30000000000000004,1,1.0,7.2959,0.0,0.0,0
5,5,Maine,84.497,1.0,1.0,0.0,5.0,27.0,8.1,0.0769,3.15,4,4.0,7.876799999999999,0.0,0.0,0
2,3,Nebraska,161.702,0.0,1.0,0.0,2.0,22.0,1.8333333333333333,0.1273,7.333333333333333,14,14.0,14.1317,0.0,0.0,0
1,1,Florida,1389.07,1.0,1.0,0.0,0.0,25.0,4.583333333333334,0.0525,2.0833333333333335,5,5.0,8.881499999999999,0.0,0.0,0
2,3,Alaska,63.618,0.0,0.0,1.0,2.0,29.333333333333332,4.3999999999999995,0.1762,3.911111111111111,10,10.0,10.833,0.0,0.0,1
1,1,Illinois,1033.31,0.0,2.0,0.0,0.0,15.0,0.0,0.143,4.75,8,8.0,11.5129,0.0,0.0,0
1,1,Florida,1389.07,0.0,0.0,0.0,1.0,41.0,8.883333333333333,0.0668,19.133333333333333,42,42.0,22.2622,0.0,0.0,1
2,3,Utah,248.176,1.0,4.0,1.0,1.0,16.666666666666664,4.166666666666666,0.0297,3.8888888888888884,9,9.0,10.5121,0.0,0.0,0
1,2,Texas,2355.96,0.0,0.0,0.0,0.0,23.0,4.216666666666667,0.1308,0.7666666666666667,6,6.0,7.7306,0.0,0.0,1
2,7,Delaware,87.525,0.0,0.0,1.0,2.0,6.285714285714286,0.9428571428571428,0.1657,1.361904761904762,0,0.0,8.3315,1.0,1.0,0
1,4,South Dakota,67.571,1.0,2.0,0.0,0.0,12.25,3.8791666666666664,0.0276,1.225,5,5.0,8.1369,0.0,0.0,0
1,1,New Mexico,122.115,1.0,1.0,0.0,1.0,22.0,6.2333333333333325,0.174,3.6666666666666665,6,6.0,9.5802,0.0,0.0,0
1,2,Virginia,649.393,0.0,0.0,1.0,1.0,3.0,0.15000000000000002,0.1859,1.6500000000000001,3,3.0,8.5549,1.0,0.0,0
2,3,Wyoming,47.433,0.0,0.0,0.0,0.0,19.333333333333332,3.222222222222222,0.0974,5.477777777777777,19,19.0,11.9518,0.0,0.0,0
2,2,Pennsylvania,923.089,0.0,0.0,0.0,1.0,44.0,14.666666666666666,0.0101,2.1999999999999997,3,3.0,7.0473,0.0,0.0,1
2,2,Washington,725.514,0.0,1.0,1.0,1.0,42.0,4.8999999999999995,0.0538,4.199999999999999,6,6.0,10.8194,0.0,0.0,1
2,3,Arizona,458.95,0.0,2.0,0.0,0.0,36.666666666666664,9.777777777777777,0.2384,3.666666666666666,7,7.0,8.4658,0.0,0.0,0
2,5,South Carolina,295.88,1.0,1.0,1.0,1.0,11.200000000000001,1.6800000000000002,0.0489,2.8000000000000003,5,5.0,9.5228,0.0,0.0,0
1,1,New Jersey,745.422,1.0,4.0,0.0,0.0,49.0,8.166666666666666,0.0805,4.9,6,6.0,9.763,0.0,0.0,0
4,4,Rhode Island,71.402,1.0,1.0,0.0,1.0,57.0,19.0,0.1249,3.8,11,11.0,8.6156,0.0,1.0,1
1,1,New York,2053.18,0.0,0.0,1.0,1.0,51.0,1.7,0.0375,3.4,7,7.0,10.264199999999999,0.0,0.0,1
1,2,Connecticut,321.845,0.0,0.0,1.0,1.0,18.5,1.5416666666666667,0.0662,6.166666666666667,12,12.0,12.653400000000001,0.0,0.0,0
4,5,South Dakota,67.571,0.0,1.0,0.0,1.0,7.2,1.4400000000000002,0.0503,4.680000000000001,13,13.0,11.5776,0.0,0.0,0
3,3,Idaho,109.546,1.0,2.0,1.0,3.0,59.0,14.75,0.1104,0.9833333333333333,3,3.0,5.9298,0.0,1.0,0
2,3,Florida,1389.07,1.0,1.0,0.0,0.0,30.666666666666664,6.133333333333333,0.0467,8.688888888888888,17,17.0,14.5161,0.0,0.0,0
1,2,Utah,248.176,1.0,3.0,0.0,0.0,19.0,4.433333333333334,0.1363,3.8,8,8.0,10.6549,0.0,0.0,0
4,5,Texas,2355.96,1.0,3.0,1.0,5.0,8.0,0.5333333333333333,0.1234,0.5333333333333333,0,0.0,7.522,0.0,0.0,0
2,3,Pennsylvania,923.089,0.0,1.0,0.0,0.0,10.666666666666666,0.3555555555555555,0.1836,1.0666666666666664,5,5.0,7.9862,1.0,1.0,0
10,12,Colorado,484.372,1.0,1.0,0.0,4.0,32.5,2.708333333333333,0.1554,2.1666666666666665,5,5.0,9.1242,0.0,0.0,1
1,1,Mississippi,138.74,0.0,1.0,1.0,1.0,1.0,0.06666666666666667,0.1383,0.2833333333333333,1,1.0,7.2599,1.0,0.0,0
3,3,California,3598.103,1.0,1.0,1.0,3.0,12.0,2.0,0.0824,2.0,2,2.0,8.8528,0.0,0.0,0
1,1,Minnesota,446.5,0.0,1.0,1.0,1.0,17.0,1.9833333333333334,0.2244,1.7,5,5.0,8.6287,1.0,1.0,0
2,2,North Dakota,73.267,1.0,1.0,0.0,2.0,49.0,7.35,0.0694,10.616666666666667,24,24.0,16.0888,0.0,0.0,0
1,2,Pennsylvania,923.089,1.0,4.0,1.0,1.0,9.5,1.7416666666666667,0.2155,0.15833333333333333,0,0.0,7.1517,1.0,1.0,1
3,3,Oklahoma,240.534,0.0,0.0,0.0,0.0,38.0,10.766666666666666,0.2055,4.433333333333334,10,10.0,9.141300000000001,0.0,0.0,0
3,5,Hawaii,98.219,1.0,1.0,1.0,3.0,36.0,9.0,0.141,0.6,1,1.0,5.5886,0.0,0.0,1
2,2,Vermont,40.617,0.0,1.0,0.0,0.0,53.0,7.949999999999999,0.1155,12.366666666666667,24,24.0,18.0718,0.0,1.0,1
1,1,New Hampshire,105.414,0.0,1.0,0.0,1.0,0.0,0.0,0.1617,0.0,0,0.0,7.0,1.0,0.0,1
1,1,Nevada,215.918,1.0,1.0,1.0,1.0,56.0,14.933333333333334,0.031,0.9333333333333333,3,3.0,5.8683,0.0,0.0,1
2,3,Georgia,755.698,1.0,1.0,0.0,1.0,31.333333333333332,0.0,0.0135,4.177777777777778,5,5.0,11.0893,0.0,0.0,1
1,1,Rhode Island,71.402,0.0,2.0,1.0,0.0,31.0,4.133333333333334,0.0049,5.683333333333334,15,15.0,12.296700000000001,0.0,0.0,1
2,2,Ohio,822.67,1.0,1.0,1.0,1.0,41.0,2.05,0.2063,3.416666666666667,6,6.0,10.257200000000001,0.0,0.0,1
3,3,North Carolina,730.072,0.0,0.0,1.0,1.0,56.0,6.533333333333333,0.0735,4.666666666666667,12,12.0,10.3305,0.0,1.0,1
6,6,Massachusetts,688.392,0.0,2.0,0.0,4.0,20.0,4.666666666666666,0.2343,3.0,4,4.0,9.9313,0.0,0.0,0
3,5,California,3598.103,0.0,1.0,0.0,2.0,5.3999999999999995,1.44,0.1912,0.27,1,1.0,7.245,1.0,1.0,0
1,2,Florida,1389.07,0.0,1.0,1.0,1.0,20.0,1.6666666666666665,0.1166,3.0,5,5.0,9.7996,0.0,0.0,1
1,1,South Dakota,67.571,0.0,0.0,1.0,1.0,49.0,2.45,0.1087,0.8166666666666667,0,0.0,7.7799,0.0,0.0,1
2,2,Vermont,40.617,0.0,1.0,1.0,1.0,41.0,10.933333333333334,0.1467,2.7333333333333334,5,5.0,7.666,0.0,0.0,1
1,1,Montana,65.015,0.0,0.0,1.0,1.0,25.0,7.083333333333334,0.2407,7.916666666666667,19,19.0,13.7965,0.0,0.0,0
2,3,Kansas,210.67,1.0,2.0,0.0,1.0,26.666666666666664,7.555555555555555,0.01,1.7777777777777777,2,2.0,7.7021,0.0,0.0,0
1,2,Ohio,822.67,1.0,1.0,1.0,1.0,3.0,0.5,0.2473,0.45,0,0.0,7.4379,1.0,0.0,0
1,2,Georgia,755.698,0.0,0.0,1.0,1.0,16.0,4.533333333333333,0.1119,1.8666666666666667,7,7.0,8.7677,0.0,0.0,1
1,1,Nevada,215.918,1.0,2.0,1.0,1.0,4.0,0.9333333333333333,0.044,0.06666666666666667,0,0.0,7.0628,0.0,0.0,1
3,3,Mississippi,138.74,1.0,4.0,1.0,2.0,7.0,0.5833333333333334,0.1827,0.11666666666666667,0,0.0,7.1061,1.0,1.0,0
1,1,Michigan,620.696,1.0,0.0,0.0,1.0,50.0,15.833333333333334,0.005,9.166666666666668,13,13.0,13.5875,0.0,0.0,1
1,2,Mississippi,138.74,1.0,7.0,0.0,1.0,5.5,0.0,0.1062,0.4583333333333333,0,0.0,7.4133,0.0,0.0,0
4,5,Kentucky,260.304,0.0,0.0,1.0,3.0,22.400000000000002,2.6133333333333333,0.0224,2.6133333333333333,1,1.0,9.542300000000001,0.0,0.0,1
2,2,North Dakota,73.267,0.0,1.0,1.0,2.0,3.0,0.1,0.0469,0.55,0,0.0,7.5198,0.0,0.0,0
1,3,Wyoming,47.433,1.0,3.0,0.0,0.0,14.333333333333332,0.23888888888888887,0.0975,2.15,1,1.0,9.031600000000001,0.0,0.0,0
1,2,Texas,2355.96,1.0,1.0,1.0,1.0,17.5,1.4583333333333335,0.2021,12.25,19,19.0,18.1845,0.0,0.0,0
2,2,Connecticut,321.845,0.0,0.0,0.0,1.0,29.0,7.733333333333333,0.2011,3.3833333333333333,6,6.0,9.0718,0.0,0.0,1
2,2,Utah,248.176,1.0,4.0,0.0,1.0,45.0,9.75,0.1656,1.5,4,4.0,6.4616,0.0,0.0,0
1,1,Michigan,620.696,1.0,2.0,1.0,1.0,34.0,2.2666666666666666,0.1954,0.5666666666666667,0,0.0,7.5439,0.0,0.0,1
